Index,ModelFamily,ModelType,ModelInstance,Examination,ID,Consensus,Solutions,Nupn,FormulaType
1,ARMCacheCoherence,PT,none,ReachabilityDeadlock,00,FALSE,3,NUPN,INV
2,ASLink,PT,01a,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
3,ASLink,PT,01b,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
4,ASLink,PT,02a,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
5,ASLink,PT,03a,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
6,ASLink,PT,04a,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
7,AirplaneLD,COL,0010,ReachabilityDeadlock,00,TRUE,3,NONE,CEX
8,AirplaneLD,COL,0020,ReachabilityDeadlock,00,TRUE,3,NONE,CEX
9,AirplaneLD,PT,0010,ReachabilityDeadlock,00,TRUE,3,GEN,CEX
10,AirplaneLD,PT,0020,ReachabilityDeadlock,00,TRUE,3,GEN,CEX
11,AirplaneLD,PT,0050,ReachabilityDeadlock,00,TRUE,3,GEN,CEX
12,AirplaneLD,PT,1000,ReachabilityDeadlock,00,TRUE,3,GEN,CEX
13,Angiogenesis,PT,01,ReachabilityDeadlock,00,TRUE,3,GEN,CEX
14,Angiogenesis,PT,05,ReachabilityDeadlock,00,TRUE,3,NONE,CEX
15,Angiogenesis,PT,10,ReachabilityDeadlock,00,TRUE,3,NONE,CEX
16,Angiogenesis,PT,15,ReachabilityDeadlock,00,TRUE,3,NONE,CEX
17,Angiogenesis,PT,20,ReachabilityDeadlock,00,TRUE,3,NONE,CEX
18,Angiogenesis,PT,25,ReachabilityDeadlock,00,TRUE,3,NONE,CEX
19,AutoFlight,PT,01a,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
20,AutoFlight,PT,01b,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
21,AutoFlight,PT,02a,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
22,AutoFlight,PT,02b,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
23,AutoFlight,PT,03a,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
24,AutoFlight,PT,03b,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
25,AutoFlight,PT,04a,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
26,AutoFlight,PT,04b,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
27,AutoFlight,PT,05a,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
28,AutoFlight,PT,05b,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
29,AutoFlight,PT,06a,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
30,AutoFlight,PT,12a,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
31,AutoFlight,PT,24a,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
32,AutoFlight,PT,48a,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
33,AutoFlight,PT,96a,ReachabilityDeadlock,00,TRUE,3,NUPN,CEX
34,BART,PT,002,ReachabilityDeadlock,00,FALSE,3,GEN,INV
35,BART,PT,005,ReachabilityDeadlock,00,FALSE,3,GEN,INV
36,BART,PT,010,ReachabilityDeadlock,00,FALSE,3,GEN,INV
37,BART,PT,020,ReachabilityDeadlock,00,FALSE,3,GEN,INV
38,BART,PT,030,ReachabilityDeadlock,00,FALSE,3,GEN,INV
39,BART,PT,040,ReachabilityDeadlock,00,FALSE,3,GEN,INV
40,BART,PT,050,ReachabilityDeadlock,00,FALSE,3,GEN,INV
41,BART,PT,060,ReachabilityDeadlock,00,FALSE,3,GEN,INV
