Index,ModelFamily,ModelType,ModelInstance,Examination,ID,Consensus,Solutions,Nupn,FormulaType
1,ARMCacheCoherence,PT,none,LTLCardinality,00,FALSE,3,NUPN,CEX
2,ARMCacheCoherence,PT,none,LTLCardinality,01,FALSE,3,NUPN,CEX
3,ARMCacheCoherence,PT,none,LTLCardinality,02,FALSE,3,NUPN,CEX
4,ARMCacheCoherence,PT,none,LTLCardinality,03,FALSE,3,NUPN,CEX
5,ARMCacheCoherence,PT,none,LTLCardinality,04,FALSE,3,NUPN,CEX
6,ARMCacheCoherence,PT,none,LTLCardinality,05,TRUE,3,NUPN,INV
7,ARMCacheCoherence,PT,none,LTLCardinality,06,FALSE,3,NUPN,CEX
8,ARMCacheCoherence,PT,none,LTLCardinality,07,TRUE,3,NUPN,INV
9,ARMCacheCoherence,PT,none,LTLCardinality,08,TRUE,3,NUPN,INV
10,ARMCacheCoherence,PT,none,LTLCardinality,09,TRUE,3,NUPN,INV
11,ARMCacheCoherence,PT,none,LTLCardinality,10,FALSE,3,NUPN,CEX
12,ARMCacheCoherence,PT,none,LTLCardinality,11,TRUE,3,NUPN,INV
13,ARMCacheCoherence,PT,none,LTLCardinality,12,TRUE,3,NUPN,INV
14,ARMCacheCoherence,PT,none,LTLCardinality,13,FALSE,3,NUPN,CEX
15,ARMCacheCoherence,PT,none,LTLCardinality,14,FALSE,3,NUPN,CEX
16,ARMCacheCoherence,PT,none,LTLCardinality,15,FALSE,3,NUPN,CEX
17,ASLink,PT,01a,LTLCardinality,00,FALSE,3,NUPN,CEX
18,ASLink,PT,01a,LTLCardinality,01,FALSE,3,NUPN,CEX
19,ASLink,PT,01a,LTLCardinality,02,TRUE,3,NUPN,INV
20,ASLink,PT,01a,LTLCardinality,03,FALSE,3,NUPN,CEX
21,ASLink,PT,01a,LTLCardinality,04,TRUE,3,NUPN,INV
22,ASLink,PT,01a,LTLCardinality,05,FALSE,3,NUPN,CEX
23,ASLink,PT,01a,LTLCardinality,06,FALSE,3,NUPN,CEX
24,ASLink,PT,01a,LTLCardinality,07,FALSE,3,NUPN,CEX
25,ASLink,PT,01a,LTLCardinality,08,FALSE,3,NUPN,CEX
26,ASLink,PT,01a,LTLCardinality,09,FALSE,3,NUPN,CEX
27,ASLink,PT,01a,LTLCardinality,10,TRUE,3,NUPN,INV
28,ASLink,PT,01a,LTLCardinality,11,TRUE,3,NUPN,INV
29,ASLink,PT,01a,LTLCardinality,12,TRUE,3,NUPN,INV
30,ASLink,PT,01a,LTLCardinality,13,FALSE,3,NUPN,CEX
31,ASLink,PT,01a,LTLCardinality,14,FALSE,3,NUPN,CEX
32,ASLink,PT,01a,LTLCardinality,15,TRUE,3,NUPN,INV
33,ASLink,PT,02a,LTLCardinality,07,FALSE,3,NUPN,CEX
34,ASLink,PT,02a,LTLCardinality,11,TRUE,3,NUPN,INV
35,ASLink,PT,02a,LTLCardinality,14,FALSE,3,NUPN,CEX
36,ASLink,PT,03a,LTLCardinality,01,TRUE,3,NUPN,INV
37,ASLink,PT,03a,LTLCardinality,05,FALSE,3,NUPN,CEX
38,ASLink,PT,03a,LTLCardinality,11,TRUE,3,NUPN,INV
39,AirplaneLD,COL,0010,LTLCardinality,00,TRUE,3,NONE,INV
40,AirplaneLD,COL,0010,LTLCardinality,02,TRUE,3,NONE,INV
41,AirplaneLD,COL,0010,LTLCardinality,03,TRUE,3,NONE,INV
42,AirplaneLD,COL,0010,LTLCardinality,04,TRUE,3,NONE,INV
43,AirplaneLD,COL,0010,LTLCardinality,06,TRUE,3,NONE,INV
44,AirplaneLD,COL,0010,LTLCardinality,07,FALSE,3,NONE,CEX
45,AirplaneLD,COL,0010,LTLCardinality,09,TRUE,3,NONE,INV
46,AirplaneLD,COL,0010,LTLCardinality,10,FALSE,3,NONE,CEX
47,AirplaneLD,COL,0010,LTLCardinality,11,FALSE,3,NONE,CEX
48,AirplaneLD,COL,0010,LTLCardinality,12,TRUE,3,NONE,INV
49,AirplaneLD,COL,0010,LTLCardinality,13,FALSE,3,NONE,CEX
50,AirplaneLD,COL,0010,LTLCardinality,14,FALSE,3,NONE,CEX
51,AirplaneLD,COL,0010,LTLCardinality,15,TRUE,3,NONE,INV
52,AirplaneLD,PT,0010,LTLCardinality,00,TRUE,3,GEN,INV
53,AirplaneLD,PT,0010,LTLCardinality,02,TRUE,3,GEN,INV
54,AirplaneLD,PT,0010,LTLCardinality,03,TRUE,3,GEN,INV
55,AirplaneLD,PT,0010,LTLCardinality,04,TRUE,3,GEN,INV
56,AirplaneLD,PT,0010,LTLCardinality,06,TRUE,3,GEN,INV
57,AirplaneLD,PT,0010,LTLCardinality,07,FALSE,3,GEN,CEX
58,AirplaneLD,PT,0010,LTLCardinality,08,FALSE,3,GEN,CEX
59,AirplaneLD,PT,0010,LTLCardinality,09,FALSE,3,GEN,CEX
60,AirplaneLD,PT,0010,LTLCardinality,10,TRUE,3,GEN,INV
61,AirplaneLD,PT,0010,LTLCardinality,11,FALSE,3,GEN,CEX
62,AirplaneLD,PT,0010,LTLCardinality,12,FALSE,3,GEN,CEX
63,AirplaneLD,PT,0010,LTLCardinality,13,TRUE,3,GEN,INV
64,AirplaneLD,PT,0010,LTLCardinality,14,FALSE,3,GEN,CEX
65,AirplaneLD,PT,0010,LTLCardinality,15,TRUE,3,GEN,INV
