Index,ModelFamily,ModelType,ModelInstance,Examination,ID,Consensus,Solutions,Nupn,FormulaType
1,AirplaneLD,COL,0010,StateSpace,00,43463,3,NONE,UNKNOWN
2,AirplaneLD,COL,0010,StateSpace,02,1,3,NONE,UNKNOWN
3,AirplaneLD,COL,0010,StateSpace,03,38,3,NONE,UNKNOWN
4,AirplaneLD,COL,0020,StateSpace,00,308303,3,NONE,UNKNOWN
5,AirplaneLD,COL,0020,StateSpace,02,1,3,NONE,UNKNOWN
6,AirplaneLD,COL,0020,StateSpace,03,68,3,NONE,UNKNOWN
7,AirplaneLD,COL,0050,StateSpace,00,4.4712E+0006,3,NONE,UNKNOWN
8,AirplaneLD,COL,0050,StateSpace,02,1,3,NONE,UNKNOWN
9,AirplaneLD,COL,0050,StateSpace,03,158,3,NONE,UNKNOWN
10,AirplaneLD,COL,0100,StateSpace,00,3.4877E+0007,3,NONE,UNKNOWN
11,AirplaneLD,COL,0100,StateSpace,02,1,3,NONE,UNKNOWN
12,AirplaneLD,COL,0100,StateSpace,03,308,3,NONE,UNKNOWN
13,AirplaneLD,COL,0200,StateSpace,00,2.7549E+0008,3,NONE,UNKNOWN
14,AirplaneLD,COL,0200,StateSpace,02,1,3,NONE,UNKNOWN
15,AirplaneLD,COL,0200,StateSpace,03,608,3,NONE,UNKNOWN
16,AirplaneLD,COL,0500,StateSpace,00,4.2718E+0009,3,NONE,UNKNOWN
17,AirplaneLD,COL,0500,StateSpace,02,1,3,NONE,UNKNOWN
18,AirplaneLD,COL,0500,StateSpace,03,1508,3,NONE,UNKNOWN
19,AirplaneLD,COL,1000,StateSpace,00,3.4087E+0010,3,NONE,UNKNOWN
20,AirplaneLD,COL,1000,StateSpace,02,1,3,NONE,UNKNOWN
21,AirplaneLD,COL,1000,StateSpace,03,3008,3,NONE,UNKNOWN
22,AirplaneLD,COL,2000,StateSpace,00,2.7235E+0011,3,NONE,UNKNOWN
23,AirplaneLD,COL,2000,StateSpace,02,1,3,NONE,UNKNOWN
24,AirplaneLD,COL,2000,StateSpace,03,6008,3,NONE,UNKNOWN
25,AirplaneLD,COL,4000,StateSpace,00,2.1774E+0012,3,NONE,UNKNOWN
26,AirplaneLD,COL,4000,StateSpace,02,1,3,NONE,UNKNOWN
27,AirplaneLD,COL,4000,StateSpace,03,12008,3,NONE,UNKNOWN
28,AirplaneLD,PT,0010,StateSpace,00,43463,3,GEN,UNKNOWN
29,AirplaneLD,PT,0010,StateSpace,02,1,3,GEN,UNKNOWN
30,AirplaneLD,PT,0010,StateSpace,03,38,3,GEN,UNKNOWN
31,AirplaneLD,PT,0020,StateSpace,00,308303,3,GEN,UNKNOWN
32,AirplaneLD,PT,0020,StateSpace,02,1,3,GEN,UNKNOWN
33,AirplaneLD,PT,0020,StateSpace,03,68,3,GEN,UNKNOWN
34,AirplaneLD,PT,0050,StateSpace,00,4.4712E+0006,3,GEN,UNKNOWN
35,AirplaneLD,PT,0050,StateSpace,02,1,3,GEN,UNKNOWN
36,AirplaneLD,PT,0050,StateSpace,03,158,3,GEN,UNKNOWN
37,AirplaneLD,PT,0100,StateSpace,00,3.4877E+0007,3,GEN,UNKNOWN
38,AirplaneLD,PT,0100,StateSpace,02,1,3,GEN,UNKNOWN
39,AirplaneLD,PT,0100,StateSpace,03,308,3,GEN,UNKNOWN
40,AirplaneLD,PT,0200,StateSpace,00,2.7549E+0008,3,GEN,UNKNOWN
41,AirplaneLD,PT,0200,StateSpace,02,1,3,GEN,UNKNOWN
42,AirplaneLD,PT,0200,StateSpace,03,608,3,GEN,UNKNOWN
43,AirplaneLD,PT,0500,StateSpace,00,4.2718E+0009,3,GEN,UNKNOWN
44,AirplaneLD,PT,0500,StateSpace,02,1,3,GEN,UNKNOWN
45,AirplaneLD,PT,0500,StateSpace,03,1508,3,GEN,UNKNOWN
46,AirplaneLD,PT,1000,StateSpace,00,3.4087E+0010,3,GEN,UNKNOWN
