"Tool","year","answer","answer_ideal","answer_bvt"
"BVT",2018,14023,92.54883843717,100
"GreatSPN",2018,4943,32.6227560718057,35.2492334022677
"ITS-Tools",2018,5686,37.526399155227,40.5476716822363
"ITS-Tools.M",2018,5414,35.7312565997888,38.6080011409827
"Irma.full",2018,3847,25.3893875395987,27.4335021036868
"Irma.struct",2018,3874,25.5675818373812,27.626042929473
"LTSMin",2018,4453,29.3888595564942,31.7549739713328
"M4M.full",2018,2745,18.1164202745512,19.5749839549312
"M4M.struct",2018,2651,17.4960401267159,18.9046566355273
"Tapaal",2018,13411,88.509767687434,95.6357412821793
"Ideal Tool",2018,15152,100,108.051058974542
"LoLA",2018,12006,79.2370644139388,85.6164871996007
"LastYear-gold",2019,14262,87.561394891945,95.1434289526351
"BVT",2019,14990,92.0309430255403,100
"GreatSPN",2019,5222,32.0604125736739,34.8365577051368
"ITS-Tools",2019,5622,34.5162082514735,37.505003335557
"ITS-Tools.M",2019,5877,36.0817779960707,39.20613742495
"Tapaal",2019,14306,87.8315324165029,95.4369579719813
"Ideal Tool",2019,16288,100,108.659106070714
"LoLA",2019,12751,78.284626719057,85.0633755837225
"LastYear-gold",2020,16975,86.3252644426363,92.185293798197
"BVT",2020,18414,93.6432058584215,100
"GreatSPN",2020,8871,45.1128966639544,48.1753014011079
"ITS-Tools",2020,11277,57.3484540276648,61.2414467253177
"Tapaal",2020,16988,86.3913751017087,92.2558922558923
"Smart",2020,1504,7.64849471114727,8.16769849027913
"Ideal Tool",2020,19664,100,106.788313239926
"ITS-LoLa",2020,16322,83.0044751830757,88.6390789616596
"LastYear-gold",2021,17075,75.6334160170092,86.102566688518
"BVT",2021,19831,87.841070163005,100
"GreatSPN",2021,8684,38.4656272147413,43.7900257173113
"ITS-Tools",2021,12900,57.140326009922,65.0496697090414
"Tapaal",2021,18220,80.7051736357193,91.8763552014523
"Ideal Tool",2021,22576,100,113.841964600877
"LoLA",2021,10360,45.8894401133948,52.2414401694317
"LastYear-gold",2022,18731,72.3987322201608,83.2008173055568
"BVT",2022,22513,87.0168521954236,100
"GreatSPN",2022,10562,40.8240568954855,46.9151157109226
"ITS-Tools",2022,16614,64.2161410018553,73.7973615244525
"Ideal Tool",2022,25872,100,114.920268289433
"Tapaal",2022,20685,79.9512987012987,91.8802469684182
"LastYear-gold",2023,20917,77.9089690107271,88.5113405551794
"BVT",2023,23632,88.0214541120381,100
"GreatSPN",2023,10829,40.3344755661502,45.8234597156398
"ITS-Tools",2023,16617,61.8928784266985,70.3156736628301
"LTSMin",2023,6972,25.9684147794994,29.5023696682464
"LTSMin+red",2023,13774,51.3036352800953,58.2853757616791
"Marcie",2023,7923,29.5105780691299,33.5265741367637
"Marcie+red",2023,15002,55.8775327771156,63.4817197020989
"Ideal Tool",2023,26848,100,113.608666215301
"LoLA",2023,15531,57.847884386174,65.7202098849018
"ITS-LoLa",2023,19693,73.3499702026222,83.33192281652
"Tapaal",2023,21134,78.7172228843862,89.429587000677
"LastYear-gold",2024,22427,78.6581088664422,91.8160976009171
"BVT",2024,24426,85.6691919191919,100
"GreatSPN",2024,11613,40.7302188552189,47.5436010808155
"GreatSPN+red",2024,16605,58.2386363636364,67.9808400884304
"ITS-Tools",2024,17619,61.7950336700337,72.1321542618521
"Ideal Tool",2024,28512,100,116.728076639646
"LTSMin+red",2024,8991,31.5340909090909,36.8091378039794
"LoLA",2024,11999,42.0840347923681,49.1238843854909
"Tapaal",2024,22455,78.7563131313131,91.930729550479
"LastYear-gold",2025,23259,78.3659029649596,91.9837063987978
"BVT",2025,25286,85.1954177897574,100
"ITS-Tools",2025,18464,62.2102425876011,73.0206438345329
"Ideal Tool",2025,29680,100,117.377204777347
"Tapaal",2025,23250,78.3355795148248,91.9481135806375
