"Tool","year","answer","answer_ideal","answer_bvt"
"BVT",2018,13262,87.526399155227,100
"GreatSPN",2018,5094,33.6193241816262,38.4104961544262
"ITS-Tools",2018,5785,38.1797782470961,43.6208716633992
"ITS-Tools.M",2018,5350,35.3088701161563,40.3408234052179
"Irma.full",2018,3387,22.35348468849,25.5391343688735
"Irma.struct",2018,3392,22.3864836325238,25.5768360729905
"LTSMin",2018,4290,28.3130939809926,32.3480621324084
"M4M.full",2018,2139,14.1169482576558,16.1287890212638
"M4M.struct",2018,2499,16.4928722280887,18.8433117176896
"Tapaal",2018,11916,78.6430834213305,89.8507012516966
"Ideal Tool",2018,15152,100,114.251244156236
"LoLA",2018,9607,63.4041710665259,72.4400542904539
"LastYear-gold",2019,12733,78.174115913556,89.7005988023952
"BVT",2019,14195,87.1500491159135,100
"GreatSPN",2019,5273,32.3735265225933,37.1468827051779
"ITS-Tools",2019,5622,34.5162082514735,39.6054948925678
"ITS-Tools.M",2019,6236,38.2858546168959,43.9309616061994
"Tapaal",2019,12761,78.346021611002,89.8978513561113
"Ideal Tool",2019,16288,100,114.744628390278
"LoLA",2019,10979,67.4054518664047,77.344135258894
"LastYear-gold",2020,14869,75.6153376729048,86.4728118639139
"BVT",2020,17195,87.4440602115541,100
"GreatSPN",2020,8551,43.4855573637103,49.7295725501599
"ITS-Tools",2020,9116,46.3588283157038,53.0154114568188
"Tapaal",2020,14813,75.3305532953621,86.1471357952893
"Smart",2020,1243,6.32119609438568,7.22884559464961
"Ideal Tool",2020,19664,100,114.358825239895
"ITS-LoLa",2020,12171,61.8948331977217,70.7822041291073
"LastYear-gold",2021,13174,58.3540042523033,70.9729555004849
"BVT",2021,18562,82.2200566973777,100
"GreatSPN",2021,8147,36.0869950389794,43.8907445318392
"ITS-Tools",2021,8923,39.5242735648476,48.0713285206336
"Tapaal",2021,14750,65.334868887314,79.4634198900981
"Ideal Tool",2021,22576,100,121.624824911109
"LoLA",2021,12097,53.5834514528703,65.1707790108825
"LastYear-gold",2022,16381,63.3155534941249,77.2907426630178
"BVT",2022,21194,81.9186765615337,100
"GreatSPN",2022,10466,40.4529993815708,49.3819005378881
"ITS-Tools",2022,13422,51.878478664193,63.329244125696
"Ideal Tool",2022,25872,100,122.072284608852
"Tapaal",2022,18278,70.647804576376,86.241389072379
"LastYear-gold",2023,19126,71.2380810488677,83.9264557461933
"BVT",2023,22789,84.8815554231228,100
"GreatSPN",2023,10930,40.7106674612634,47.9617359252271
"ITS-Tools",2023,13892,51.7431466030989,60.9592347185045
"LTSMin",2023,6615,24.6387067938021,29.0271622273904
"LTSMin+red",2023,10226,38.0884982121573,44.8725262187898
"Marcie",2023,8414,31.3393921334923,36.9213216902892
"Marcie+red",2023,12182,45.3739570917759,53.4556145508798
"Ideal Tool",2023,26848,100,117.811224713678
"LoLA",2023,14891,55.464094159714,65.3429286059064
"ITS-LoLa",2023,16721,62.2802443384982,73.3731186098556
"Tapaal",2023,19328,71.9904648390942,84.8128483040063
"LastYear-gold",2024,20015,70.1985129068462,87.6313485113835
"BVT",2024,22840,80.1066217732884,100
"GreatSPN",2024,11286,39.5833333333333,49.4133099824869
"GreatSPN+red",2024,13398,46.9907407407407,58.6602451838879
"ITS-Tools",2024,14672,51.4590347923681,64.2381786339755
"Ideal Tool",2024,28512,100,124.833625218914
"LTSMin+red",2024,3701,12.9804994388328,16.2040280210158
"LoLA",2024,9232,32.3793490460157,40.4203152364273
"Tapaal",2024,20067,70.3808922558923,87.8590192644483
"SVSKit",2024,392,1.37485970819304,1.71628721541156
"LastYear-gold",2025,20951,70.5896226415094,88.3412042502952
"BVT",2025,23716,79.9056603773585,100
"ITS-Tools",2025,15310,51.5835579514825,64.555574295834
"Ideal Tool",2025,29680,100,125.147579693034
"Tapaal",2025,20960,70.6199460916442,88.3791533142183
