"Tool","year","answer","answer_ideal","answer_bvt"
"BVT",2018,13967,92.1792502639915,100
"ITS-Tools",2018,10086,66.565469904963,72.2130736736594
"ITS-Tools.M",2018,9939,65.5953009503696,71.1605928259469
"Irma.full",2018,5373,35.4606652587117,38.4692489439393
"Irma.struct",2018,5404,35.6652587117212,38.6912006873344
"LTSMin",2018,10601,69.9643611404435,75.9003365074819
"M4M.full",2018,5132,33.870116156283,36.7437531323835
"M4M.struct",2018,5446,35.9424498416051,38.9919095009666
"Ideal Tool",2018,15152,100,108.484284384621
"LoLA",2018,13330,87.9751847940866,95.4392496599126
"LastYear-gold",2019,14316,87.8929273084479,96.1127895266868
"BVT",2019,14895,91.4476915520629,100
"ITS-Tools",2019,10891,66.8651768172888,73.1184961396442
"ITS-Tools.M",2019,10075,61.8553536345776,67.6401477005707
"enPAC",2019,1152,7.07269155206287,7.73413897280967
"Ideal Tool",2019,16288,100,109.352131587781
"LoLA",2019,13843,84.9889489194499,92.9372272574689
"LastYear-gold",2020,15798,80.339707078926,87.0269376962486
"BVT",2020,18153,92.3159072416599,100
"GreatSPN",2020,8165,41.5225793327909,44.9787913843442
"ITS-Tools",2020,12480,63.4662327095199,68.7489671128739
"Ideal Tool",2020,19664,100,108.32369305349
"ITS-LoLa",2020,16763,85.2471521562246,92.3428634385501
"enPAC",2020,14074,71.5724165988609,77.529884867515
"LastYear-gold",2021,18971,84.0317150956768,86.4636980994485
"BVT",2021,21941,97.1872785258682,100
"GreatSPN",2021,9580,42.4344436569809,43.6625495647418
"ITS-Tools",2021,20302,89.9273564847626,92.5299667289549
"Tapaal",2021,20958,92.8330970942594,95.519803108336
"Ideal Tool",2021,22576,100,102.894125153822
"LoLA",2021,17312,76.6832034018427,78.9025112802516
"enPAC",2021,18732,82.9730687455705,85.3744131990338
"LastYear-gold",2022,22369,86.4602659245516,88.6849304206478
"BVT",2022,25223,97.4914965986395,100
"GreatSPN",2022,10769,41.6241496598639,42.6951591801134
"ITS-Tools",2022,24514,94.7510822510823,97.1890734646949
"Ideal Tool",2022,25872,100,102.573048408199
"Tapaal",2022,24564,94.9443413729128,97.3873052372834
"enPAC",2022,21370,82.5989486703772,84.7242596043294
"LastYear-gold",2023,25430,94.7184147794994,97.3695294252786
"BVT",2023,26117,97.2772646007151,100
"GreatSPN",2023,11025,41.0645113230036,42.2138836772983
"ITS-Tools",2023,25516,95.03873659118,97.6988168625799
"LTSMin+red",2023,24377,90.7963349225268,93.3376727801815
"Marcie+red",2023,10319,38.4348927294398,39.5106635524754
"Smart+red",2023,10435,38.8669547079857,39.9548187004633
"Ideal Tool",2023,26848,100,102.798943217062
"LoLA",2023,21317,79.3988379022646,81.6211662901558
"ITS-LoLa",2023,25371,94.4986591179976,97.143622927595
"Tapaal",2023,25303,94.2453814064362,96.8832561167056
"LastYear-gold",2024,26679,93.5711279461279,97.2550306211724
"BVT",2024,27432,96.2121212121212,100
"GreatSPN",2024,12078,42.3611111111111,44.0288713910761
"GreatSPN+red",2024,25289,88.695987654321,92.1879556722077
"ITS-Tools",2024,25647,89.9515993265993,93.4930008748906
"Ideal Tool",2024,28512,100,103.937007874016
"LTSMin+red",2024,26009,91.2212401795735,94.8126275882181
"LoLA",2024,15428,54.1105499438833,56.2408865558472
"Tapaal",2024,26300,92.2418630751964,95.8734324876057
"LTSMin",2024,21495,75.3893097643098,78.3573928258968
"LastYear-gold",2025,27835,93.783692722372,96.6157584172162
"BVT",2025,28810,97.0687331536388,100
"ITS-Tools",2025,27627,93.082884097035,95.8937868795557
"Ideal Tool",2025,29680,100,103.019784796946
"Tapaal",2025,27848,93.8274932614555,96.66088163832
"EnPac",2025,26583,89.5653638814016,92.2700451232211
