"Tool","year","answer","answer_ideal","answer_bvt"
"BVT",2018,14162,93.4662090813094,100
"ITS-Tools",2018,10608,70.0105596620908,74.9046744810055
"ITS-Tools.M",2018,10779,71.1391235480465,76.1121310549357
"Irma.full",2018,6537,43.1428194297782,46.1587346419997
"Irma.struct",2018,6563,43.314413938754,46.3423245304336
"LTSMin",2018,10909,71.997096092925,77.0300804971049
"M4M.full",2018,6234,41.1430834213305,44.01920632679
"M4M.struct",2018,6582,43.4398099260824,46.4764863719814
"Ideal Tool",2018,15152,100,106.990538059596
"LoLA",2018,13727,90.5953009503696,96.9283999435108
"LastYear-gold",2019,14692,90.2013752455796,96.549911283433
"BVT",2019,15217,93.4246070726916,100
"ITS-Tools",2019,11259,69.1245088408644,73.9896168758625
"ITS-Tools.M",2019,10286,63.1507858546169,67.5954524544917
"enPAC",2019,1096,6.72888015717092,7.20247092068082
"Ideal Tool",2019,16288,100,107.038180981797
"LoLA",2019,14309,87.8499508840865,94.0329894197279
"LastYear-gold",2020,14983,76.1950772986168,85.6024681483174
"BVT",2020,17503,89.010374288039,100
"GreatSPN",2020,8172,41.5581773799837,46.689139004742
"ITS-Tools",2020,9584,48.7388120423108,54.7563274867166
"Ideal Tool",2020,19664,100,112.346454893447
"ITS-LoLa",2020,13924,70.8096013018714,79.5520767868366
"enPAC",2020,14613,74.3134662327095,83.4885448208878
"LastYear-gold",2021,16013,70.9293054571226,74.3891108427018
"BVT",2021,21526,95.3490432317505,100
"GreatSPN",2021,9550,42.301559177888,44.3649540091053
"ITS-Tools",2021,19462,86.206591070163,90.4115952801263
"Tapaal",2021,19792,87.6683203401843,91.9446251045248
"Ideal Tool",2021,22576,100,104.87782216854
"LoLA",2021,15825,70.0965627214741,73.515748397287
"enPAC",2021,18515,82.0118710134656,86.0122642385952
"LastYear-gold",2022,21096,81.5398886827458,84.7978133290458
"BVT",2022,24878,96.1580086580087,100
"GreatSPN",2022,10720,41.43475572047,43.0902805691776
"ITS-Tools",2022,23826,92.0918367346939,95.771364257577
"Ideal Tool",2022,25872,100,103.995498030388
"Tapaal",2022,23877,92.288961038961,95.9763646595385
"enPAC",2022,21306,82.3515769944341,85.6419326312405
"LastYear-gold",2023,24873,92.6437723480334,96.05329214134
"BVT",2023,25895,96.4503873659118,100
"GreatSPN",2023,11229,41.8243444576877,43.3635837034176
"ITS-Tools",2023,25007,93.1428784266984,96.5707665572504
"LTSMin+red",2023,23313,86.833283671037,90.0289631202935
"Marcie+red",2023,8893,33.1235101311085,34.3425371693377
"Smart+red",2023,8893,33.1235101311085,34.3425371693377
"Ideal Tool",2023,26848,100,103.68024715196
"LoLA",2023,20112,74.9106078665077,77.6675033790307
"ITS-LoLa",2023,24715,92.055274135876,95.4431357404904
"Tapaal",2023,24718,92.0664481525626,95.4547209886078
"LastYear-gold",2024,26030,91.2948933782267,96.0764773188646
"BVT",2024,27093,95.0231481481482,100
"GreatSPN",2024,12280,43.0695847362514,45.3253607943011
"GreatSPN+red",2024,24055,84.3679854096521,88.786771490791
"ITS-Tools",2024,24669,86.5214646464647,91.053039530506
"Ideal Tool",2024,28512,100,105.237515225335
"LTSMin+red",2024,24900,87.3316498316498,91.9056582881187
"LoLA",2024,13840,48.5409652076319,51.0833056509061
"Tapaal",2024,25450,89.2606621773288,93.9357029491012
"LTSMin",2024,20589,72.2117003367003,75.9937991363083
"LastYear-gold",2025,27195,91.627358490566,95.3441082635066
"BVT",2025,28523,96.1017520215633,100
"ITS-Tools",2025,26882,90.5727762803235,94.2467482382639
"Ideal Tool",2025,29680,100,104.056375556568
"Tapaal",2025,27185,91.5936657681941,95.30904883778
"EnPac",2025,25937,87.3888140161725,90.9336325070995
