"Tool","year","answer","answer_ideal","answer_bvt"
"BVT",2020,946,76.973148901546,100
"GreatSPN",2020,469,38.1611065907242,49.5771670190275
"Tapaal",2020,840,68.3482506102522,88.7949260042283
"Smart",2020,264,21.4808787632221,27.906976744186
"Ideal Tool",2020,1229,100,129.915433403805
"LastYear-gold",2021,904,64.0680368532955,67.2619047619048
"BVT",2021,1344,95.2515946137491,100
"GreatSPN",2021,548,38.8377037562013,40.7738095238095
"ITS-Tools",2021,1289,91.3536498936924,95.9077380952381
"Tapaal",2021,988,70.0212615166549,73.5119047619048
"Ideal Tool",2021,1411,100,104.985119047619
"LoLA",2021,1244,88.1644223954642,92.5595238095238
"LastYear-gold",2022,1493,92.3314780457638,97.5816993464052
"BVT",2022,1530,94.6196660482375,100
"GreatSPN",2022,625,38.6518243661101,40.8496732026144
"ITS-Tools",2022,1512,93.5064935064935,98.8235294117647
"Ideal Tool",2022,1617,100,105.686274509804
"Tapaal",2022,1194,73.8404452690167,78.0392156862745
"LastYear-gold",2023,1540,91.7759237187127,96.1298377028714
"BVT",2023,1602,95.4707985697259,100
"GreatSPN",2023,648,38.6174016686532,40.4494382022472
"ITS-Tools",2023,1550,92.3718712753278,96.7540574282147
"LTSMin+red",2023,1383,82.419547079857,86.3295880149813
"Marcie+red",2023,1384,82.4791418355185,86.3920099875156
"Smart",2023,323,19.2491060786651,20.1622971285893
"Smart+red",2023,1432,85.3396901072706,89.3882646691635
"Ideal Tool",2023,1678,100,104.744069912609
"LoLA",2023,1491,88.8557806912992,93.0711610486891
"ITS-LoLa",2023,1544,92.0143027413588,96.3795255930087
"Tapaal",2023,1211,72.1692491060787,75.5930087390762
"LastYear-gold",2024,1655,92.8731762065095,97.2385428907168
"BVT",2024,1702,95.5106621773288,100
"GreatSPN",2024,716,40.1795735129068,42.0681551116334
"GreatSPN+red",2024,1596,89.5622895622896,93.7720329024677
"ITS-Tools",2024,1629,91.4141414141414,95.710928319624
"Ideal Tool",2024,1782,100,104.700352526439
"LTSMin+red",2024,1469,82.4354657687991,86.310223266745
"LoLA",2024,1541,86.4758698092031,90.5405405405405
"Tapaal",2024,1314,73.7373737373737,77.2032902467685
"LastYear-gold",2025,1657,89.3261455525606,95.1751866743251
"BVT",2025,1741,93.8544474393531,100
"ITS-Tools",2025,1721,92.7762803234501,98.8512349224584
"Ideal Tool",2025,1855,100,106.547960941987
"Tapaal",2025,1367,73.6927223719677,78.5180930499713
