"Tool","year","answer","answer_ideal","answer_bvt"
"BVT",2020,1152,93.7347436940602,100
"GreatSPN",2020,723,58.8283157038243,62.7604166666667
"Tapaal",2020,1140,92.7583401139137,98.9583333333333
"Smart",2020,364,29.6175752644426,31.5972222222222
"Ideal Tool",2020,1229,100,106.684027777778
"LastYear-gold",2021,1237,87.6683203401843,87.7304964539007
"BVT",2021,1410,99.9291282778171,100
"GreatSPN",2021,808,57.264351523742,57.3049645390071
"ITS-Tools",2021,1392,98.6534372785259,98.7234042553192
"Tapaal",2021,1345,95.322466335932,95.3900709219858
"Ideal Tool",2021,1411,100,100.070921985816
"LoLA",2021,1379,97.7321048901488,97.8014184397163
"LastYear-gold",2022,1592,98.4539270253556,98.5148514851485
"BVT",2022,1616,99.9381570810142,100
"GreatSPN",2022,898,55.534941249227,55.5693069306931
"ITS-Tools",2022,1615,99.8763141620285,99.9381188118812
"Ideal Tool",2022,1617,100,100.061881188119
"Tapaal",2022,1558,96.3512677798392,96.4108910891089
"LastYear-gold",2023,1645,98.0333730631704,98.0333730631704
"BVT",2023,1678,100,100
"GreatSPN",2023,934,55.6615017878427,55.6615017878427
"ITS-Tools",2023,1676,99.880810488677,99.880810488677
"LTSMin+red",2023,1676,99.880810488677,99.880810488677
"Marcie+red",2023,1676,99.880810488677,99.880810488677
"Smart",2023,464,27.6519666269368,27.6519666269368
"Smart+red",2023,1676,99.880810488677,99.880810488677
"Ideal Tool",2023,1678,100,100
"LoLA",2023,1628,97.0202622169249,97.0202622169249
"ITS-LoLa",2023,1676,99.880810488677,99.880810488677
"Tapaal",2023,1632,97.2586412395709,97.2586412395709
"LastYear-gold",2024,1760,98.7654320987654,99.6602491506229
"BVT",2024,1766,99.1021324354658,100
"GreatSPN",2024,1011,56.7340067340067,57.2480181200453
"GreatSPN+red",2024,1760,98.7654320987654,99.6602491506229
"ITS-Tools",2024,1760,98.7654320987654,99.6602491506229
"Ideal Tool",2024,1782,100,100.906002265006
"LTSMin+red",2024,1756,98.5409652076319,99.4337485843715
"LoLA",2024,1663,93.3221099887767,94.167610419026
"Tapaal",2024,1710,95.959595959596,96.8289920724802
"LastYear-gold",2025,1852,99.8382749326146,99.8382749326146
"BVT",2025,1855,100,100
"ITS-Tools",2025,1851,99.7843665768194,99.7843665768194
"Ideal Tool",2025,1855,100,100
"Tapaal",2025,1798,96.9272237196765,96.9272237196765
