"Tool","year","answer","answer_ideal","answer_bvt"
"BVT",2018,14503,95.7167370644139,100
"GreatSPN",2018,4896,32.3125659978881,33.7585327173688
"ITS-Tools",2018,10019,66.1232840549102,69.082258842998
"ITS-Tools.M",2018,9868,65.1267159450898,68.0410949458733
"Irma.full",2018,7110,46.9244984160507,49.0243397917672
"Irma.struct",2018,7147,47.1686906019007,49.2794594221885
"LTSMin",2018,6423,42.3904435058078,44.287388816107
"M4M.full",2018,6062,40.0079197465681,41.7982486382128
"M4M.struct",2018,6761,44.6211721224921,46.6179411156313
"Tapaal",2018,14186,93.6246040126716,97.8142453285527
"Ideal Tool",2018,15152,100,104.474936220092
"LoLA",2018,13588,89.6779303062302,93.6909604909329
"LastYear-gold",2019,15201,93.3263752455796,97.8941267387944
"BVT",2019,15528,95.3339882121807,100
"GreatSPN",2019,5131,31.5017190569745,33.0435342606904
"ITS-Tools",2019,10278,63.1016699410609,66.1901081916538
"ITS-Tools.M",2019,9685,59.460952848723,62.3712004121587
"Tapaal",2019,15273,93.7684184675835,98.3578052550232
"Ideal Tool",2019,16288,100,104.89438433797
"LoLA",2019,14131,86.7571218074656,91.0033487892839
"LastYear-gold",2020,18381,93.4753864930838,95.0266246187251
"BVT",2020,19343,98.3675752644426,100
"GreatSPN",2020,9003,45.7841741253051,46.543969394613
"ITS-Tools",2020,19110,97.1826688364524,98.7954298712713
"Tapaal",2020,18462,93.8873067534581,95.4453807578969
"Smart",2020,6191,31.4839300244101,32.0064105878095
"Ideal Tool",2020,19664,100,101.659515070051
"ITS-LoLa",2020,19129,97.2792921074044,98.8936566199659
"LastYear-gold",2021,21771,96.4342664776754,97.5884172307141
"BVT",2021,22309,98.8173281360737,100
"GreatSPN",2021,10357,45.8761516654855,46.4252095566812
"ITS-Tools",2021,21820,96.6513111268604,97.8080595275449
"Tapaal",2021,21389,94.7422041105599,95.876103814604
"Ideal Tool",2021,22576,100,101.196826392936
"LoLA",2021,20010,88.6339475549256,89.6947420323636
"smpt",2021,10886,48.2193479801559,48.7964498632839
"LastYear-gold",2022,24792,95.8256029684601,98.1278448446467
"BVT",2022,25265,97.6538342609771,100
"GreatSPN",2022,11551,44.6467223252938,45.7193746289333
"ITS-Tools",2022,23029,89.0112863327149,91.1498119928755
"Ideal Tool",2022,25872,100,102.402533148625
"Tapaal",2022,24603,95.0950834879406,97.3797743914506
"smpt",2022,23174,89.5717377860235,91.7237284781318
"LastYear-gold",2023,25659,95.5713647199047,97.2779315312583
"BVT",2023,26377,98.2456793802145,100
"GreatSPN",2023,11586,43.154052443385,43.9246313075786
"ITS-Tools",2023,25615,95.4074791418355,97.1111195359594
"LTSMin",2023,11775,43.8580154946365,44.6411646510217
"LTSMin+red",2023,25443,94.7668355184744,96.459036281609
"Marcie",2023,8886,33.0974374255066,33.6884406869621
"Marcie+red",2023,25466,94.8525029797378,96.5462334609698
"Smart",2023,8280,30.8402860548272,31.3909845698904
"Smart+red",2023,25400,94.6066746126341,96.2960154680214
"Ideal Tool",2023,26848,100,101.785646586041
"LoLA",2023,23091,86.0064064362336,87.5421768965386
"ITS-LoLa",2023,25958,96.685041716329,98.4114948629488
"Tapaal",2023,25890,96.4317640047676,98.1536945065777
"smpt",2023,25365,94.4763110846246,96.1633241081245
"LastYear-gold",2024,27252,95.5808080808081,97.5899731423456
"BVT",2024,27925,97.9412177328844,100
"GreatSPN",2024,12748,44.7109988776655,45.6508504923903
"GreatSPN+red",2024,27040,94.8372615039282,96.8307967770815
"ITS-Tools",2024,27102,95.0547138047138,97.0528200537153
"Ideal Tool",2024,28512,100,102.10205908684
"LTSMin+red",2024,26771,93.8937991021324,95.8675022381379
"LoLA",2024,23910,83.8594276094276,85.6222023276634
"Tapaal",2024,27368,95.9876543209877,98.0053715308863
"smpt",2024,26522,93.0204826038159,94.9758281110116
"LastYear-gold",2025,28459,95.8861185983828,97.8948092600874
"BVT",2025,29071,97.9481132075472,100
"ITS-Tools",2025,28352,95.5256064690027,97.5267448660177
"Ideal Tool",2025,29680,100,102.094871177462
"Tapaal",2025,28668,96.5902964959569,98.6137387774758
"smpt",2025,26298,88.6051212938005,90.4612844415397
