"Tool","year","answer","answer_ideal","answer_bvt"
"BVT",2018,888,93.7697993664203,100
"GreatSPN",2018,429,45.3009503695882,48.3108108108108
"ITS-Tools",2018,697,73.6008447729673,78.490990990991
"ITS-Tools.M",2018,739,78.0359028511088,83.2207207207207
"Irma.full",2018,401,42.3442449841605,45.1576576576577
"Irma.struct",2018,401,42.3442449841605,45.1576576576577
"LTSMin",2018,332,35.0580781414995,37.3873873873874
"M4M.full",2018,316,33.3685322069694,35.5855855855856
"M4M.struct",2018,256,27.0327349524815,28.8288288288288
"Tapaal",2018,812,85.7444561774023,91.4414414414414
"Ideal Tool",2018,947,100,106.644144144144
"LoLA",2018,755,79.7254487856389,85.0225225225225
"BVT",2019,932,91.5520628683694,100
"GreatSPN",2019,441,43.3202357563851,47.3175965665236
"ITS-Tools",2019,773,75.9332023575639,82.9399141630901
"ITS-Tools.M",2019,773,75.9332023575639,82.9399141630901
"Tapaal",2019,856,84.0864440078585,91.8454935622318
"Ideal Tool",2019,1018,100,109.227467811159
"LoLA",2019,727,71.4145383104126,78.0042918454936
"BVT",2020,1188,96.6639544344996,100
"GreatSPN",2020,695,56.5500406834825,58.5016835016835
"ITS-Tools",2020,1165,94.7925142392189,98.0639730639731
"Tapaal",2020,1021,83.0756712774614,85.9427609427609
"Smart",2020,340,27.6647681041497,28.6195286195286
"Ideal Tool",2020,1229,100,103.451178451178
"ITS-LoLa",2020,1162,94.5484133441823,97.8114478114478
"LastYear-gold",2021,1178,83.4868887313962,86.1111111111111
"BVT",2021,1368,96.9525159461375,100
"GreatSPN",2021,806,57.1226080793763,58.9181286549708
"ITS-Tools",2021,1339,94.8972360028349,97.8801169590643
"Tapaal",2021,1211,85.8256555634302,88.5233918128655
"Ideal Tool",2021,1411,100,103.143274853801
"LoLA",2021,1162,82.3529411764706,84.9415204678363
"LastYear-gold",2022,1542,95.3617810760668,97.9047619047619
"BVT",2022,1575,97.4025974025974,100
"GreatSPN",2022,895,55.3494124922696,56.8253968253968
"ITS-Tools",2022,1562,96.5986394557823,99.1746031746032
"Ideal Tool",2022,1617,100,102.666666666667
"Tapaal",2022,1407,87.012987012987,89.3333333333333
"LastYear-gold",2023,1589,94.6960667461263,97.0678069639585
"BVT",2023,1637,97.5566150178784,100
"GreatSPN",2023,929,55.3635280095352,56.7501527183873
"ITS-Tools",2023,1617,96.3647199046484,98.7782529016494
"LTSMin",2023,728,43.3849821215733,44.4715943799633
"LTSMin+red",2023,1611,96.0071513706794,98.4117287721442
"Marcie",2023,624,37.1871275327771,38.11850946854
"Marcie+red",2023,1616,96.3051251489869,98.7171655467318
"Smart",2023,486,28.9630512514899,29.6884544899206
"Smart+red",2023,1587,94.5768772348033,96.9456322541234
"Ideal Tool",2023,1678,100,102.504581551619
"LoLA",2023,1379,82.181168057211,84.2394624312767
"ITS-LoLa",2023,1612,96.0667461263409,98.4728161270617
"Tapaal",2023,1443,85.9952324195471,88.1490531459988
"LastYear-gold",2024,1706,95.7351290684624,98.328530259366
"BVT",2024,1735,97.3625140291807,100
"GreatSPN",2024,1006,56.4534231200898,57.9827089337176
"GreatSPN+red",2024,1701,95.4545454545455,98.0403458213256
"ITS-Tools",2024,1706,95.7351290684624,98.328530259366
"Ideal Tool",2024,1782,100,102.708933717579
"LTSMin+red",2024,1674,93.9393939393939,96.4841498559078
"LoLA",2024,1422,79.7979797979798,81.9596541786744
"Tapaal",2024,1551,87.037037037037,89.3948126801153
"LastYear-gold",2025,1776,95.7412398921833,98.5571587125416
"BVT",2025,1802,97.1428571428571,100
"ITS-Tools",2025,1770,95.4177897574124,98.2241953385128
"Ideal Tool",2025,1855,100,102.941176470588
"Tapaal",2025,1610,86.7924528301887,89.3451720310766
