"Tool","year","answer","answer_ideal","answer_bvt"
"BVT",2018,14048,92.713833157339,100
"GreatSPN",2018,5073,33.4807286166843,36.1119020501139
"ITS-Tools",2018,9896,65.311510031679,70.4441913439636
"ITS-Tools.M",2018,9488,62.6187961985216,67.5398633257403
"Irma.full",2018,6489,42.8260295670539,46.1916287015945
"Irma.struct",2018,6432,42.4498416050686,45.7858769931663
"LTSMin",2018,6725,44.3835797254488,47.871583143508
"M4M.full",2018,6182,40.7998944033791,44.006264236902
"M4M.struct",2018,6047,39.9089229144667,43.0452733485194
"Tapaal",2018,13476,88.9387539598733,95.9282460136674
"Ideal Tool",2018,15152,100,107.858769931663
"LoLA",2018,12410,81.9033790918691,88.3399772209567
"LastYear-gold",2019,14429,88.5866895874263,95.0652259849783
"BVT",2019,15178,93.1851669941061,100
"GreatSPN",2019,5415,33.2453339882122,35.6766372381078
"ITS-Tools",2019,10116,62.1070726915521,66.6490973777836
"ITS-Tools.M",2019,9355,57.4349214145383,61.6352615627882
"Tapaal",2019,14578,89.5014734774067,96.0469100013177
"Ideal Tool",2019,16288,100,107.313216497562
"LoLA",2019,13261,81.4157662082515,87.36987745421
"LastYear-gold",2020,17528,89.1375101708706,91.5395863797786
"BVT",2020,19148,97.3759153783564,100
"GreatSPN",2020,8480,43.1244914564687,44.2866095675789
"ITS-Tools",2020,18967,96.4554515866558,99.0547315646543
"Tapaal",2020,17474,88.8628966639544,91.2575725924379
"Smart",2020,6505,33.0807567127746,33.9722164194694
"Ideal Tool",2020,19664,100,102.694798412367
"ITS-LoLa",2020,18933,96.2825467860049,98.8771673281805
"LastYear-gold",2021,21588,95.6236711552091,98.069322672966
"BVT",2021,22013,97.506201275691,100
"GreatSPN",2021,9637,42.6869241672573,43.7786762367692
"ITS-Tools",2021,21504,95.2515946137491,97.6877299777404
"Tapaal",2021,20505,90.8265414599575,93.1495025666651
"Ideal Tool",2021,22576,100,102.557579612047
"LoLA",2021,18164,80.4571226080794,82.5148775723436
"smpt",2021,12475,55.2577958894401,56.6710580111752
"LastYear-gold",2022,24474,94.5964749536178,97.5915144748385
"BVT",2022,25078,96.9310451453309,100
"GreatSPN",2022,10826,41.8444650587508,43.1693117473483
"ITS-Tools",2022,22817,88.1918676561534,90.9841295159104
"Ideal Tool",2022,25872,100,103.166121700295
"Tapaal",2022,23439,90.5960111317254,93.4643910997687
"smpt",2022,22469,86.8467841682127,89.596459047771
"LastYear-gold",2023,24569,91.5114719904648,93.4111474412592
"BVT",2023,26302,97.9663289630513,100
"GreatSPN",2023,11365,42.3308998808105,43.2096418523306
"ITS-Tools",2023,25166,93.7351013110846,95.6809368108889
"LTSMin",2023,13097,48.7820321811681,49.7946924188275
"LTSMin+red",2023,24809,92.4053933253874,94.3236255798038
"Marcie",2023,9621,35.8350715137068,36.5789673789065
"Marcie+red",2023,24887,92.6959177592372,94.6201809748308
"Smart",2023,9693,36.1032479141835,36.8527108204699
"Smart+red",2023,24588,91.5822407628129,93.483385293894
"Ideal Tool",2023,26848,100,102.075887765189
"LoLA",2023,20950,78.0318831942789,79.6517375104555
"ITS-LoLa",2023,25474,94.8823003575685,96.8519504220211
"Tapaal",2023,24738,92.1409415971394,94.0536841304844
"smpt",2023,24875,92.6512216924911,94.5745570679036
"LastYear-gold",2024,26620,93.3641975308642,95.7209636821287
"BVT",2024,27810,97.5378787878788,100
"GreatSPN",2024,12493,43.8166386083053,44.9226896799712
"GreatSPN+red",2024,26332,92.3540965207632,94.6853649766271
"ITS-Tools",2024,26480,92.8731762065095,95.2175476447321
"Ideal Tool",2024,28512,100,102.52427184466
"LTSMin+red",2024,25881,90.7723063973064,93.0636461704423
"LoLA",2024,21507,75.4313973063973,77.3354908306365
"Tapaal",2024,26003,91.2001964085297,93.5023372887451
"SVSKit",2024,1296,4.54545454545455,4.66019417475728
"smpt",2024,26110,91.5754769921436,93.8870909744696
"LastYear-gold",2025,27295,91.9642857142857,94.3190849718373
"BVT",2025,28939,97.5033692722372,100
"ITS-Tools",2025,27895,93.9858490566038,96.3924116244514
"Ideal Tool",2025,29680,100,102.560558415978
"Tapaal",2025,27815,93.716307277628,96.1159680707696
"smpt",2025,25734,86.7048517520216,88.9249801306196
