"Tool","year","answer","answer_ideal","answer_bvt"
"BVT",2020,1019,82.9129373474369,100
"GreatSPN",2020,724,58.9096826688365,71.0500490677134
"Tapaal",2020,912,74.206672091131,89.4995093228655
"Smart",2020,357,29.0480065093572,35.0343473994112
"Ideal Tool",2020,1229,100,120.608439646712
"LastYear-gold",2021,958,67.8951098511694,70.337738619677
"BVT",2021,1362,96.5272856130404,100
"GreatSPN",2021,809,57.3352232459249,59.3979441997063
"ITS-Tools",2021,1321,93.6215450035436,96.9897209985316
"Tapaal",2021,1079,76.4705882352941,79.2217327459618
"Ideal Tool",2021,1411,100,103.59765051395
"LoLA",2021,1178,83.4868887313962,86.4904552129222
"LastYear-gold",2022,1512,93.5064935064935,96.4285714285714
"BVT",2022,1568,96.969696969697,100
"GreatSPN",2022,898,55.534941249227,57.2704081632653
"ITS-Tools",2022,1529,94.5578231292517,97.5127551020408
"Ideal Tool",2022,1617,100,103.125
"Tapaal",2022,1300,80.395794681509,82.9081632653061
"LastYear-gold",2023,1558,92.8486293206198,96.0542540073983
"BVT",2023,1622,96.6626936829559,100
"GreatSPN",2023,934,55.6615017878427,57.5832305795314
"ITS-Tools",2023,1583,94.3384982121573,97.5955610357583
"LTSMin+red",2023,1574,93.8021454112038,97.0406905055487
"Marcie+red",2023,1572,93.6829558998808,96.9173859432799
"Smart",2023,453,26.9964243146603,27.9284833538841
"Smart+red",2023,1572,93.6829558998808,96.9173859432799
"Ideal Tool",2023,1678,100,103.452527743527
"LoLA",2023,1341,79.9165673420739,82.675709001233
"ITS-LoLa",2023,1579,94.1001191895113,97.3489519112207
"Tapaal",2023,1373,81.823599523242,84.6485819975339
"LastYear-gold",2024,1688,94.7250280583614,97.9118329466357
"BVT",2024,1724,96.7452300785634,100
"GreatSPN",2024,1010,56.6778900112233,58.584686774942
"GreatSPN+red",2024,1670,93.7149270482604,96.8677494199536
"ITS-Tools",2024,1677,94.1077441077441,97.2737819025522
"Ideal Tool",2024,1782,100,103.364269141531
"LTSMin+red",2024,1667,93.5465768799102,96.6937354988399
"LoLA",2024,1305,73.2323232323232,75.6960556844547
"Tapaal",2024,1446,81.1447811447811,83.8747099767981
"LastYear-gold",2025,1749,94.2857142857143,97.8187919463087
"BVT",2025,1788,96.3881401617251,100
"ITS-Tools",2025,1764,95.0943396226415,98.6577181208054
"Ideal Tool",2025,1855,100,103.747203579418
"Tapaal",2025,1483,79.9460916442049,82.9418344519016
