"Tool","year","answer","answer_ideal","answer_bvt"
"BVT",2018,13226,87.2888067581837,100
"GreatSPN",2018,8768,57.8669482576558,66.293663995161
"ITS-Tools",2018,8258,54.5010559662091,62.4376228640557
"ITS-Tools.M",2018,7545,49.7954065469905,57.046726145471
"Irma.full",2018,4934,32.5633579725449,37.305307727204
"Irma.struct",2018,4913,32.424762407603,37.146529562982
"LTSMin",2018,5360,35.3748680042239,40.5262362014214
"M4M.full",2018,3788,25,28.6405564796613
"M4M.struct",2018,3857,25.4553854276663,29.1622561621049
"Tapaal",2018,8483,55.9860084477297,64.1388174807198
"Smart",2018,4940,32.6029567053854,37.3506729169817
"Ideal Tool",2018,15152,100,114.562225918645
"LoLA",2018,11983,79.0852692713833,90.601844851051
"LastYear-gold",2019,12951,79.5125245579568,86.4668179997329
"BVT",2019,14978,91.9572691552063,100
"GreatSPN",2019,8976,55.1080550098232,59.9278942448925
"ITS-Tools",2019,8131,49.9201866404715,54.286286553612
"ITS-Tools.M",2019,8798,54.0152259332024,58.7394845773802
"LTSMin",2019,6272,38.5068762278978,41.8747496327948
"Tapaal",2019,14398,88.3963654223969,96.1276538923755
"Smart",2019,5575,34.227652259332,37.2212578448391
"Ideal Tool",2019,16288,100,108.746161036186
"LoLA",2019,12988,79.7396856581532,86.7138469755642
"LastYear-gold",2020,17512,89.0561432058584,94.4297654354273
"BVT",2020,18545,94.3093978844589,100
"GreatSPN",2020,11552,58.746948738812,62.291722836344
"ITS-Tools",2020,10579,53.7988201790073,57.0450256133729
"Tapaal",2020,16680,84.8250610252238,89.9433809652197
"Smart",2020,6745,34.3012611879577,36.3709894850364
"Ideal Tool",2020,19664,100,106.033971420868
"ITS-LoLa",2020,17311,88.0339707078926,93.3459153410623
"LastYear-gold",2021,11760,52.0907158043941,54.2060382576631
"BVT",2021,21695,96.0976257973069,100
"GreatSPN",2021,12824,56.8036853295535,59.110394100023
"ITS-Tools",2021,21202,93.9138908575478,97.7275870016133
"Tapaal",2021,19489,86.3261871013466,89.8317584696935
"Ideal Tool",2021,22576,100,104.06084351233
"LoLA",2021,19238,85.2143869596031,88.674809864024
"LastYear-gold",2022,24001,92.7682436611008,97.6722418915069
"BVT",2022,24573,94.9791280148423,100
"GreatSPN",2022,14400,55.6586270871985,58.6009034305946
"ITS-Tools",2022,24302,93.9316635745207,98.8971635534937
"Ideal Tool",2022,25872,100,105.286289830302
"Tapaal",2022,22550,87.1598639455782,91.767386969438
"LastYear-gold",2023,24880,92.6698450536353,97.6337165953773
"BVT",2023,25483,94.9158224076281,100
"GreatSPN",2023,14976,55.7806912991657,58.768590825256
"ITS-Tools",2023,25128,93.5935637663886,98.6069144135306
"LTSMin",2023,11888,44.2789034564958,46.6507083153475
"LTSMin+red",2023,24893,92.7182657926103,97.6847309971353
"Marcie",2023,10922,40.6808700834327,42.8599458462504
"Marcie+red",2023,25060,93.3402860548272,98.3400698504886
"Smart",2023,9830,36.6135280095352,38.5747360985755
"Smart+red",2023,24980,93.0423122765197,98.0261350704391
"Ideal Tool",2023,26848,100,105.356512184594
"LoLA",2023,22644,84.3414779499404,88.8592394929953
"ITS-LoLa",2023,24920,92.818831942789,97.790683985402
"Tapaal",2023,23357,86.9971692491061,91.657183220186
"LastYear-gold",2024,26480,92.8731762065095,96.6388088025984
"BVT",2024,27401,96.1033950617284,100
"GreatSPN",2024,16266,57.0496632996633,59.3627969782125
"GreatSPN+red",2024,27000,94.6969696969697,98.5365497609576
"ITS-Tools",2024,27028,94.7951739618406,98.6387358125616
"Ideal Tool",2024,28512,100,104.054596547571
"LTSMin+red",2024,26556,93.1397306397306,96.9161709426663
"LoLA",2024,20937,73.4322390572391,76.4096200868581
"Tapaal",2024,25527,89.5307239057239,93.1608335462209
"LastYear-gold",2025,28283,95.2931266846361,98.8916083916084
"BVT",2025,28600,96.3611859838275,100
"ITS-Tools",2025,28334,95.4649595687331,99.0699300699301
"Ideal Tool",2025,29680,100,103.776223776224
"Tapaal",2025,26813,90.3402964959569,93.7517482517483
