"Tool","year","answer","answer_ideal","answer_bvt"
"BVT",2018,27285,90.0376187961985,100
"BVT",2019,29185,89.5904960707269,100
"BVT",2020,35609,90.5436330349878,100
"BVT",2021,38393,85.0305634301913,100
"BVT",2022,43707,84.4677643784787,100
"BVT",2023,46421,86.4515047675805,100
"BVT",2024,47266,82.8879068462402,100
"BVT",2025,49002,82.550539083558,100
"GreatSPN",2018,10037,33.1210401267159,36.7857797324537
"GreatSPN",2019,10495,32.2169695481336,35.9602535549083
"GreatSPN",2020,17422,44.2992270138324,48.9258333567357
"GreatSPN",2021,16831,37.2763111268604,43.8387206001094
"GreatSPN",2022,21028,40.6385281385281,48.1112865216098
"GreatSPN",2023,21759,40.5225715137068,46.8731823958984
"GreatSPN",2024,22899,40.1567760942761,48.4470867007997
"GreatSPN+red",2024,30003,52.6146885521885,63.4769178690814
"Ideal Tool",2018,30304,100,111.064687557266
"Ideal Tool",2019,32576,100,111.618982353949
"Ideal Tool",2020,39328,100,110.443988879216
"Ideal Tool",2021,45152,100,117.604771703175
"Ideal Tool",2022,51744,100,118.388358844121
"Ideal Tool",2023,53696,100,115.671786475948
"Ideal Tool",2024,57024,100,120.64486099945
"Ideal Tool",2025,59360,100,121.137912738256
"Irma.full",2018,7234,23.8714361140444,26.5127359354957
"Irma.struct",2018,7266,23.9770327349525,26.6300164925783
"ITS-LoLa",2020,28493,72.4496541903987,80.0162880170743
"ITS-LoLa",2023,36414,67.8151072705602,78.4429460804377
"ITS-Tools",2018,11471,37.8530887011616,42.0414146967198
"ITS-Tools",2019,11244,34.5162082514735,38.5266403974644
"ITS-Tools",2020,20393,51.8536411716843,57.2692296891235
"ITS-Tools",2021,21823,48.3322997873848,56.8410908238481
"ITS-Tools",2022,30036,58.0473098330241,68.7212574644794
"ITS-Tools",2023,30509,56.8180125148987,65.7224101161112
"ITS-Tools",2024,32291,56.6270342312009,68.3176067363433
"ITS-Tools",2025,33774,56.8969002695418,68.9237173992898
"ITS-Tools.M",2018,10764,35.5200633579725,39.4502473886751
"ITS-Tools.M",2019,12113,37.1838163064833,41.5041973616584
"LastYear-gold",2019,26995,82.8677554027505,92.4961452801096
"LastYear-gold",2020,31844,80.9703010577705,89.4268302957118
"LastYear-gold",2021,30249,66.9937101346563,78.7877998593494
"LastYear-gold",2022,35112,67.8571428571429,80.3349577870822
"LastYear-gold",2023,40043,74.5735250297974,86.2605286400551
"LastYear-gold",2024,42442,74.4283108866442,89.7939322134304
"LastYear-gold",2025,44210,74.4777628032345,90.2208073139872
"LoLA",2018,21613,71.3206177402323,79.212021257101
"LoLA",2019,23730,72.8450392927308,81.3088915538804
"LoLA",2021,22457,49.7364457831325,58.4924335165265
"LoLA",2023,30422,56.655989272944,65.534994937636
"LoLA",2024,21231,37.2316919191919,44.9181229636525
"LTSMin",2018,8743,28.8509767687434,32.0432472054242
"LTSMin",2023,13587,25.3035607866508,29.2690808039465
"LTSMin+red",2023,24000,44.6960667461263,51.7007388897266
"LTSMin+red",2024,12692,22.2572951739618,26.8522828248635
"M4M.full",2018,4884,16.1166842661035,17.8999450247389
"M4M.struct",2018,5150,16.9944561774023,18.8748396554884
"Marcie",2023,16337,30.4249851013111,35.1931238017277
"Marcie+red",2023,27184,50.6257449344458,58.5597035824304
"Smart",2020,2747,6.98484540276648,7.71434187986183
"SVSKit",2024,392,0.687429854096521,0.829348791943469
"Tapaal",2018,25327,83.5764255543823,92.8238959135056
"Tapaal",2019,27067,83.0887770137525,92.7428473530923
"Tapaal",2020,31801,80.8609641985354,89.3060743070572
"Tapaal",2021,32970,73.0200212615167,85.8750293022166
"Tapaal",2022,38963,75.2995516388373,89.145903402201
"Tapaal",2023,40462,75.3538438617402,87.1631373731716
"Tapaal",2024,42522,74.5686026936027,89.963187068929
"Tapaal",2025,44210,74.4777628032345,90.2208073139872
