"Tool","year","answer","answer_ideal","answer_bvt"
"BVT",2018,888,93.7697993664203,100
"BVT",2019,932,91.5520628683694,100
"BVT",2020,5296,86.1838893409276,100
"BVT",2021,6815,96.5981573352232,100
"BVT",2022,7814,96.6481137909709,100
"BVT",2023,8110,96.6626936829559,100
"BVT",2024,8583,96.3299663299663,100
"BVT",2025,8899,95.9460916442049,100
"GreatSPN",2018,429,45.3009503695882,48.3108108108108
"GreatSPN",2019,441,43.3202357563851,47.3175965665236
"GreatSPN",2020,3303,53.7510170870627,62.3678247734139
"GreatSPN",2021,3753,53.1963146704465,55.0696991929567
"GreatSPN",2022,4185,51.7625231910946,53.5577169183517
"GreatSPN",2023,4351,51.8593563766389,53.6498150431566
"GreatSPN",2024,4719,52.962962962963,54.9807759524642
"GreatSPN+red",2024,8327,93.4567901234568,97.0173598974717
"Ideal Tool",2018,947,100,106.644144144144
"Ideal Tool",2019,1018,100,109.227467811159
"Ideal Tool",2020,6145,100,116.030966767372
"Ideal Tool",2021,7055,100,103.521643433602
"Ideal Tool",2022,8085,100,103.468134118249
"Ideal Tool",2023,8390,100,103.452527743527
"Ideal Tool",2024,8910,100,103.809856693464
"Ideal Tool",2025,9275,100,104.225193842005
"Irma.full",2018,401,42.3442449841605,45.1576576576577
"Irma.struct",2018,401,42.3442449841605,45.1576576576577
"ITS-LoLa",2020,1162,18.9096826688365,21.941087613293
"ITS-LoLa",2023,7946,94.7079856972586,97.9778051787916
"ITS-Tools",2018,697,73.6008447729673,78.490990990991
"ITS-Tools",2019,773,75.9332023575639,82.9399141630901
"ITS-Tools",2020,1165,18.9585028478438,21.9977341389728
"ITS-Tools",2021,6630,93.9759036144578,97.2853998532648
"ITS-Tools",2022,7712,95.3865182436611,98.6946506270796
"ITS-Tools",2023,7939,94.6245530393325,97.8914919852034
"ITS-Tools",2024,8371,93.9506172839506,97.5300011650938
"ITS-Tools",2025,8793,94.8032345013477,98.8088549275199
"ITS-Tools.M",2018,739,78.0359028511088,83.2207207207207
"ITS-Tools.M",2019,773,75.9332023575639,82.9399141630901
"LastYear-gold",2021,5225,74.0609496810772,76.6691122523844
"LastYear-gold",2022,7619,94.2362399505257,97.5044791400051
"LastYear-gold",2023,7850,93.5637663885578,96.7940813810111
"LastYear-gold",2024,8436,94.6801346801347,98.2873121286264
"LastYear-gold",2025,8695,93.7466307277628,97.7076075963591
"LoLA",2018,755,79.7254487856389,85.0225225225225
"LoLA",2019,727,71.4145383104126,78.0042918454936
"LoLA",2021,6151,87.1863926293409,90.2567865003668
"LoLA",2023,7236,86.2455303933254,89.2231812577065
"LoLA",2024,7317,82.1212121212121,85.2499126179657
"LTSMin",2018,332,35.0580781414995,37.3873873873874
"LTSMin",2023,728,8.67699642431466,8.97657213316893
"LTSMin+red",2023,7763,92.5268176400477,95.7213316892725
"LTSMin+red",2024,8133,91.2794612794613,94.7570779447746
"M4M.full",2018,316,33.3685322069694,35.5855855855856
"M4M.struct",2018,256,27.0327349524815,28.8288288288288
"Marcie",2023,624,7.43742550655542,7.69420468557337
"Marcie+red",2023,7767,92.5744934445769,95.77065351418
"Smart",2020,1612,26.2327095199349,30.4380664652568
"Smart",2023,2079,24.7794994040524,25.6350184956843
"Smart+red",2023,7787,92.8128724672229,96.0172626387176
"Tapaal",2018,812,85.7444561774023,91.4414414414414
"Tapaal",2019,856,84.0864440078585,91.8454935622318
"Tapaal",2020,4806,78.2099267697315,90.7477341389728
"Tapaal",2021,5664,80.2834868887314,83.1107850330154
"Tapaal",2022,6703,82.9066171923315,85.7819298694651
"Tapaal",2023,6985,83.253873659118,86.1282367447596
"Tapaal",2024,7434,83.4343434343434,86.6130723523244
"Tapaal",2025,7685,82.8571428571429,86.3580177548039
