"Tool","year","answer","answer_ideal","answer_bvt"
"BVT",2018,28129,92.8227296726505,100
"BVT",2019,30112,92.4361493123772,100
"BVT",2020,35656,90.6631407648495,100
"BVT",2021,43467,96.2681608788094,100
"BVT",2022,50101,96.8247526283241,100
"BVT",2023,52012,96.8638259833135,100
"BVT",2024,54525,95.6176346801347,100
"BVT",2025,57333,96.5852425876011,100
"enPAC",2019,2248,6.9007858546169,7.46546227417641
"enPAC",2020,28687,72.9429414157852,80.454902400718
"enPAC",2021,37247,82.4924698795181,85.6902937860906
"enPAC",2022,42676,82.4752628324057,85.179936528213
"EnPac",2025,52520,88.4770889487871,91.6051837510683
"GreatSPN",2020,16337,41.5403783563873,45.8183755889612
"GreatSPN",2021,19130,42.3680014174344,44.0103986932616
"GreatSPN",2022,21489,41.529452690167,42.8913594539031
"GreatSPN",2023,22254,41.4444278903457,42.7862800892102
"GreatSPN",2024,24358,42.7153479236813,44.673085740486
"GreatSPN+red",2024,49344,86.5319865319865,90.4979367262724
"Ideal Tool",2018,30304,100,107.732233637883
"Ideal Tool",2019,32576,100,108.182784272051
"Ideal Tool",2020,39328,100,110.298407000224
"Ideal Tool",2021,45152,100,103.87650401454
"Ideal Tool",2022,51744,100,103.279375661164
"Ideal Tool",2023,53696,100,103.237714373606
"Ideal Tool",2024,57024,100,104.583218707015
"Ideal Tool",2025,59360,100,103.535485671428
"Irma.full",2018,11910,39.301742344245,42.3406448860606
"Irma.struct",2018,11967,39.4898363252376,42.5432827331224
"ITS-LoLa",2020,30687,78.028376729048,86.0640565402737
"ITS-LoLa",2023,50086,93.2769666269368,96.2970083826809
"ITS-Tools",2018,20694,68.2880147835269,73.568203633261
"ITS-Tools",2019,22150,67.9948428290766,73.5587141339001
"ITS-Tools",2020,22064,56.1025223759154,61.8801884675791
"ITS-Tools",2021,39764,88.0669737774628,91.4808935514298
"ITS-Tools",2022,48340,93.4214594928881,96.4851000978024
"ITS-Tools",2023,50523,94.0908075089392,97.1371991078982
"ITS-Tools",2024,50316,88.236531986532,92.2806052269601
"ITS-Tools",2025,54509,91.8278301886792,95.0743899673835
"ITS-Tools.M",2018,20718,68.367212249208,73.6535248320239
"ITS-Tools.M",2019,20361,62.5030697445972,67.6175611052072
"LastYear-gold",2019,29008,89.0471512770138,96.3336875664187
"LastYear-gold",2020,30781,78.2673921887714,86.3276867848328
"LastYear-gold",2021,34984,77.4805102763997,80.4840453677502
"LastYear-gold",2022,43465,84.0000773036487,86.7547553941039
"LastYear-gold",2023,50303,93.6810935637664,96.7142197954318
"LastYear-gold",2024,52709,92.4330106621773,96.6694176983035
"LastYear-gold",2025,55030,92.705525606469,95.983116180908
"LoLA",2018,27057,89.2852428722281,96.1889864552597
"LoLA",2019,28152,86.4194499017682,93.4909670563231
"LoLA",2021,33137,73.3898830616584,76.2348448248096
"LoLA",2023,41429,77.1547228843862,79.6527724371299
"LoLA",2024,29268,51.3257575757576,53.6781292984869
"LTSMin",2018,21510,70.9807286166843,76.4691243911977
"LTSMin",2024,42084,73.8005050505051,77.1829436038514
"LTSMin+red",2023,47690,88.8148092967819,91.6903791432746
"LTSMin+red",2024,50909,89.2764450056117,93.3681797340669
"M4M.full",2018,11366,37.5065997888068,40.4066977141029
"M4M.struct",2018,12028,39.6911298838437,42.760140779978
"Marcie+red",2023,19212,35.7792014302741,36.9376297777436
"Smart+red",2023,19328,35.9952324195471,37.1606552334077
"Tapaal",2021,40750,90.2507087172218,93.7492810637955
"Tapaal",2022,48441,93.6166512059369,96.6866928803816
"Tapaal",2023,50021,93.1559147794994,96.1720372221795
"Tapaal",2024,51750,90.7512626262626,94.9105914718019
"Tapaal",2025,55033,92.7105795148248,95.9883487694696
