"Tool","year","answer","answer_ideal","answer_bvt"
"BVT",2018,2647,69.8785638859556,100
"GreatSPN",2018,2300,60.7180570221753,86.8908197959955
"ITS-Tools",2018,1569,41.4202745512144,59.27465054779
"ITS-Tools.M",2018,1494,39.4403379091869,56.4412542500944
"Irma.full",2018,1027,27.1119324181626,38.7986399697771
"Irma.struct",2018,1024,27.0327349524815,38.6853041178693
"LTSMin",2018,951,25.1055966209081,35.927465054779
"M4M.full",2018,909,23.9968321013728,34.3407631280695
"M4M.struct",2018,894,23.6008447729673,33.7740838685304
"tedd",2018,2368,62.5131995776135,89.4597657725727
"Tapaal",2018,645,17.0274551214361,24.3672081601813
"Smart",2018,1236,32.6293558606125,46.6943709860219
"Ideal Tool",2018,3788,100,143.105402342274
"LastYear-gold",2019,2214,54.3713163064833,79.0431988575509
"BVT",2019,2801,68.786836935167,100
"GreatSPN",2019,2367,58.1286836935167,84.5055337379507
"ITS-Tools",2019,1536,37.721021611002,54.8375580149946
"ITS-Tools.M",2019,1373,33.7180746561886,49.0182077829347
"LTSMin",2019,1104,27.1119842829077,39.4144948232774
"tedd",2019,2648,65.0294695481336,94.5376651196001
"Tapaal",2019,660,16.2082514734774,23.563013209568
"enPAC",2019,65,1.59626719056974,2.32059978579079
"Smart",2019,1220,29.9607072691552,43.5558729025348
"Ideal Tool",2019,4072,100,145.376651196001
"LastYear-gold",2020,3009,61.2082994304312,89.4470868014269
"BVT",2020,3364,68.4296175752644,100
"GreatSPN",2020,2793,56.8144833197722,83.026159334126
"ITS-Tools",2020,2125,43.2262001627339,63.1688466111772
"tedd",2020,3158,64.2392188771359,93.8763376932224
"Tapaal",2020,721,14.66639544345,21.4328180737218
"Smart",2020,1641,33.3807973962571,48.7812128418549
"Ideal Tool",2020,4916,100,146.135552913199
"LastYear-gold",2021,3712,65.7689581856839,92.568578553616
"BVT",2021,4010,71.0489014883062,100
"GreatSPN",2021,3374,59.7802976612332,84.139650872818
"ITS-Tools",2021,2469,43.7455705173636,61.571072319202
"Tapaal",2021,951,16.8497519489724,23.715710723192
"tedd",2021,3775,66.8851878100638,94.139650872818
"Ideal Tool",2021,5644,100,140.74812967581
"LastYear-gold",2022,4186,64.7186147186147,90.3908443100842
"BVT",2022,4631,71.5986394557823,100
"GreatSPN",2022,3826,59.1527520098949,82.6171453249838
"ITS-Tools",2022,2850,44.0630797773655,61.5417836320449
"tedd",2022,4431,68.5064935064935,95.6812783416109
"tedd-s",2022,4412,68.2127396413111,95.2709997840639
"Ideal Tool",2022,6468,100,139.667458432304
"LastYear-gold",2023,4619,68.8170441001192,94.0541641213602
"BVT",2023,4911,73.1674612634088,100
"GreatSPN",2023,4003,59.6394517282479,81.510893911627
"ITS-Tools",2023,2950,43.9511323003576,60.0692323355732
"LTSMin",2023,2239,33.3581644815256,45.5915292201181
"LTSMin+red",2023,2098,31.2574493444577,42.7204235389941
"Marcie",2023,2714,40.435041716329,55.2636937487273
"Marcie+red",2023,2866,42.699642431466,58.3587863978823
"Smart",2023,2498,37.2169249106079,50.865404194665
"Smart+red",2023,2586,38.5280095351609,52.6572999389127
"pnmc",2023,1925,28.6799761620977,39.1977194054164
"tedd",2023,4649,69.2640047675805,94.6650376705355
"Ideal Tool",2023,6712,100,136.672775402158
"LastYear-gold",2024,4963,69.6268237934905,96.2567882079131
"BVT",2024,5156,72.334455667789,100
"GreatSPN",2024,4238,59.4556677890011,82.1955003878976
"GreatSPN+red",2024,4236,59.4276094276094,82.1567106283941
"ITS-Tools",2024,3084,43.2659932659933,59.8138091543832
"NoHD",2024,1792,25.1402918069585,34.755624515128
"tedd",2024,4964,69.6408529741863,96.2761830876649
"Ideal Tool",2024,7128,100,138.246702870442
"LastYear-gold",2025,5239,70.6064690026954,92.5454866631337
"BVT",2025,5661,76.2938005390836,100
"ITS-Tools",2025,3333,44.9191374663073,58.8765235824059
"tedd",2025,5589,75.3234501347709,98.7281399046105
"Ideal Tool",2025,7420,100,131.072248719308
