"Year","Category","FormulaType","n","Tool","n_total","Proportion"
2020,"global_properties","CEX",1761,"GreatSPN",3134,0.561901723037652
2020,"global_properties","CEX",706,"ITS-Tools",3134,0.225271218889598
2020,"global_properties","CEX",708,"ITS-LoLa",3134,0.22590938098277
2020,"global_properties","CEX",2939,"Tapaal",3134,0.937779195915763
2020,"global_properties","INV",1542,"GreatSPN",2162,0.71322849213691
2020,"global_properties","INV",459,"ITS-Tools",2162,0.212303422756707
2020,"global_properties","INV",454,"ITS-LoLa",2162,0.209990749306198
2020,"global_properties","INV",1867,"Tapaal",2162,0.863552266419982
2020,"reachability","CEX",8860,"GreatSPN",24850,0.356539235412475
2020,"reachability","CEX",24647,"ITS-Tools",24850,0.991830985915493
2020,"reachability","CEX",24675,"ITS-LoLa",24850,0.992957746478873
2020,"reachability","CEX",23651,"Tapaal",24850,0.951750503018109
2020,"reachability","INV",8623,"GreatSPN",13641,0.6321384062752
2020,"reachability","INV",13430,"ITS-Tools",13641,0.984531925811891
2020,"reachability","INV",13387,"ITS-LoLa",13641,0.981379664247489
2020,"reachability","INV",12285,"Tapaal",13641,0.900593798108643
2020,"ltl","CEX",11649,"GreatSPN",25107,0.463974190464811
2020,"ltl","CEX",13966,"ITS-Tools",25107,0.556259210578723
2020,"ltl","CEX",21264,"ITS-LoLa",25107,0.84693511769626
2020,"ltl","CEX",21055,"enPAC",25107,0.83861074600709
2020,"ltl","INV",4688,"GreatSPN",10549,0.444402313015452
2020,"ltl","INV",8098,"ITS-Tools",10549,0.767655701962271
2020,"ltl","INV",9423,"ITS-LoLa",10549,0.893260024646886
2020,"ltl","INV",7632,"enPAC",10549,0.72348089866338
2021,"global_properties","CEX",1992,"GreatSPN",4017,0.495892457057506
2021,"global_properties","CEX",3933,"ITS-Tools",4017,0.979088872292756
2021,"global_properties","CEX",3692,"LoLA",4017,0.919093851132686
2021,"global_properties","CEX",3508,"Tapaal",4017,0.873288523773961
2021,"global_properties","INV",1761,"GreatSPN",2798,0.629378127233738
2021,"global_properties","INV",2697,"ITS-Tools",2798,0.963902787705504
2021,"global_properties","INV",2459,"LoLA",2798,0.878842030021444
2021,"global_properties","INV",2156,"Tapaal",2798,0.770550393137956
2021,"reachability","CEX",10307,"GreatSPN",28765,0.358317399617591
2021,"reachability","CEX",28073,"ITS-Tools",28765,0.975942986268034
2021,"reachability","CEX",24747,"LoLA",28765,0.86031635668347
2021,"reachability","CEX",17607,"smpt",28765,0.612098035807405
2021,"reachability","CEX",27394,"Tapaal",28765,0.95233791065531
2021,"reachability","INV",9687,"GreatSPN",15557,0.622677894195539
2021,"reachability","INV",15251,"ITS-Tools",15557,0.980330397891624
2021,"reachability","INV",13427,"LoLA",15557,0.863084142186797
2021,"reachability","INV",5754,"smpt",15557,0.369865655332005
2021,"reachability","INV",14500,"Tapaal",15557,0.932056309057016
2021,"ltl","CEX",13620,"GreatSPN",31192,0.436650423185432
2021,"ltl","CEX",28738,"ITS-Tools",31192,0.921325981020775
2021,"ltl","CEX",24097,"LoLA",31192,0.772537830212875
2021,"ltl","CEX",29555,"Tapaal",31192,0.947518594511413
2021,"ltl","CEX",27073,"enPAC",31192,0.867946909463965
2021,"ltl","INV",5510,"GreatSPN",12275,0.44887983706721
2021,"ltl","INV",11026,"ITS-Tools",12275,0.898248472505092
2021,"ltl","INV",9040,"LoLA",12275,0.736456211812627
2021,"ltl","INV",11195,"Tapaal",12275,0.912016293279022
2021,"ltl","INV",10174,"enPAC",12275,0.828839103869654
2022,"global_properties","CEX",2250,"GreatSPN",4702,0.478519778817524
2022,"global_properties","CEX",4638,"ITS-Tools",4702,0.986388770735857
2022,"global_properties","CEX",4234,"Tapaal",4702,0.900467886005955
2022,"global_properties","INV",1935,"GreatSPN",3112,0.621786632390745
2022,"global_properties","INV",3074,"ITS-Tools",3112,0.987789203084833
2022,"global_properties","INV",2469,"Tapaal",3112,0.793380462724936
2022,"reachability","CEX",11503,"GreatSPN",30468,0.377543652356571
