"Year","Category","FormulaType","Difficulty","n","Tool","n_total","Proportion"
2020,"global_properties","CEX","Hard",100,"GreatSPN",1122,0.089126559714795
2020,"global_properties","CEX","Hard",1008,"Tapaal",1122,0.898395721925134
2020,"global_properties","CEX","Hard",2,"ITS-LoLa",1122,0.0017825311942959
2020,"global_properties","CEX","Hard",2,"ITS-Tools",1122,0.0017825311942959
2020,"global_properties","CEX","Hard",10,"smart",1122,0.0089126559714795
2020,"global_properties","CEX","Hard",1122,"BVT",1122,1
2020,"global_properties","CEX","Other",1661,"GreatSPN",2012,0.825546719681909
2020,"global_properties","CEX","Other",704,"ITS-Tools",2012,0.349900596421471
2020,"global_properties","CEX","Other",1931,"Tapaal",2012,0.959741550695825
2020,"global_properties","CEX","Other",706,"ITS-LoLa",2012,0.350894632206759
2020,"global_properties","CEX","Other",856,"smart",2012,0.42544731610338
2020,"global_properties","CEX","Other",2012,"BVT",2012,1
2020,"global_properties","INV","Hard",450,"Tapaal",570,0.789473684210526
2020,"global_properties","INV","Hard",117,"GreatSPN",570,0.205263157894737
2020,"global_properties","INV","Hard",3,"smart",570,0.00526315789473684
2020,"global_properties","INV","Hard",570,"BVT",570,1
2020,"global_properties","INV","Other",454,"ITS-LoLa",1592,0.285175879396985
2020,"global_properties","INV","Other",1417,"Tapaal",1592,0.890075376884422
2020,"global_properties","INV","Other",743,"smart",1592,0.466708542713568
2020,"global_properties","INV","Other",459,"ITS-Tools",1592,0.288316582914573
2020,"global_properties","INV","Other",1425,"GreatSPN",1592,0.895100502512563
2020,"global_properties","INV","Other",1592,"BVT",1592,1
2020,"reachability","CEX","Hard",42,"GreatSPN",122,0.344262295081967
2020,"reachability","CEX","Hard",8,"2019-Gold",122,0.0655737704918033
2020,"reachability","CEX","Hard",26,"ITS-Tools",122,0.213114754098361
2020,"reachability","CEX","Hard",122,"BVT",122,1
2020,"reachability","CEX","Hard",40,"ITS-LoLa",122,0.327868852459016
2020,"reachability","CEX","Hard",6,"Tapaal",122,0.0491803278688525
2020,"reachability","CEX","Other",8818,"GreatSPN",24728,0.356599805888062
2020,"reachability","CEX","Other",24621,"ITS-Tools",24728,0.995672921384665
2020,"reachability","CEX","Other",24635,"ITS-LoLa",24728,0.996239081203494
2020,"reachability","CEX","Other",23645,"Tapaal",24728,0.956203494014882
2020,"reachability","CEX","Other",7391,"smart",24728,0.298891944354578
2020,"reachability","CEX","Other",23517,"2019-Gold",24728,0.951027175671304
2020,"reachability","CEX","Other",24728,"BVT",24728,1
2020,"reachability","INV","Hard",37,"GreatSPN",101,0.366336633663366
2020,"reachability","INV","Hard",30,"ITS-Tools",101,0.297029702970297
2020,"reachability","INV","Hard",2,"ITS-LoLa",101,0.0198019801980198
2020,"reachability","INV","Hard",23,"Tapaal",101,0.227722772277228
2020,"reachability","INV","Hard",2,"smart",101,0.0198019801980198
