Model,Places,Transitions,Arcs
AirplaneLD-COL-0010,20,15,56
AirplaneLD-COL-0020,20,15,56
AirplaneLD-COL-0050,20,15,56
AirplaneLD-COL-0100,20,15,56
AirplaneLD-COL-0200,20,15,56
AirplaneLD-COL-0500,20,15,56
AirplaneLD-COL-1000,20,15,56
AirplaneLD-COL-2000,20,15,56
AirplaneLD-COL-4000,20,15,56
AirplaneLD-PT-0010,89,88,333
AirplaneLD-PT-0020,159,168,638
AirplaneLD-PT-0050,369,408,1553
AirplaneLD-PT-0100,719,808,3078
AirplaneLD-PT-0200,1419,1608,6128
AirplaneLD-PT-0500,3519,4008,15278
AirplaneLD-PT-1000,7019,8008,30528
AirplaneLD-PT-2000,14019,16008,61028
AirplaneLD-PT-4000,28019,32008,122028
Anderson-PT-04,105,200,752
Anderson-PT-05,161,365,1380
Anderson-PT-06,229,600,2280
Anderson-PT-07,309,917,3500
Anderson-PT-08,401,1328,5088
Anderson-PT-09,505,1845,7092
Anderson-PT-10,621,2480,9560
Anderson-PT-11,749,3245,12540
Anderson-PT-12,889,4152,16080
Angiogenesis-PT-01,39,64,185
Angiogenesis-PT-05,39,64,185
Angiogenesis-PT-10,39,64,185
Angiogenesis-PT-15,39,64,185
Angiogenesis-PT-20,39,64,185
Angiogenesis-PT-25,39,64,185
Angiogenesis-PT-50,39,64,185
ARMCacheCoherence-PT-none,87,33676,246935
ASLink-PT-01a,431,735,2801
ASLink-PT-01b,846,1148,3624
ASLink-PT-02a,626,1008,3820
ASLink-PT-02b,1242,1621,5041
ASLink-PT-03a,821,1281,4839
ASLink-PT-03b,1638,2094,6458
ASLink-PT-04a,1016,1554,5858
ASLink-PT-04b,2034,2567,7875
ASLink-PT-05a,1211,1827,6877
ASLink-PT-05b,2430,3040,9292
ASLink-PT-06a,1406,2100,7896
ASLink-PT-06b,2826,3513,10709
ASLink-PT-07a,1601,2373,8915
ASLink-PT-07b,3222,3986,12126
ASLink-PT-08a,1796,2646,9934
ASLink-PT-08b,3618,4459,13543
ASLink-PT-09a,1991,2919,10953
ASLink-PT-09b,4014,4932,14960
ASLink-PT-10a,2186,3192,11972
ASLink-PT-10b,4410,5405,16377
AutoFlight-PT-01a,32,30,100
AutoFlight-PT-01b,114,112,264
AutoFlight-PT-02a,57,55,180
AutoFlight-PT-02b,206,204,478
