ModelFamily,ModelType,ModelInstance,Places,Transitions,Arcs,ctlBVT2018,ctlSOL2018,global_propertiesBVT2018,global_propertiesSOL2018,ltlBVT2018,ltlSOL2018,reachabilityBVT2018,reachabilitySOL2018,state_spaceBVT2018,state_spaceSOL2018,upper_boundsBVT2018,upper_boundsSOL2018,ctlBVT2019,ctlSOL2019,global_propertiesBVT2019,global_propertiesSOL2019,ltlBVT2019,ltlSOL2019,reachabilityBVT2019,reachabilitySOL2019,state_spaceBVT2019,state_spaceSOL2019,upper_boundsBVT2019,upper_boundsSOL2019,ctlBVT2020,ctlSOL2020,global_propertiesBVT2020,global_propertiesSOL2020,ltlBVT2020,ltlSOL2020,reachabilityBVT2020,reachabilitySOL2020,state_spaceBVT2020,state_spaceSOL2020,upper_boundsBVT2020,upper_boundsSOL2020,ctlBVT2021,ctlSOL2021,global_propertiesBVT2021,global_propertiesSOL2021,ltlBVT2021,ltlSOL2021,reachabilityBVT2021,reachabilitySOL2021,state_spaceBVT2021,state_spaceSOL2021,upper_boundsBVT2021,upper_boundsSOL2021,ctlBVT2022,ctlSOL2022,global_propertiesBVT2022,global_propertiesSOL2022,ltlBVT2022,ltlSOL2022,reachabilityBVT2022,reachabilitySOL2022,state_spaceBVT2022,state_spaceSOL2022,upper_boundsBVT2022,upper_boundsSOL2022,ctlBVT2023,ctlSOL2023,global_propertiesBVT2023,global_propertiesSOL2023,ltlBVT2023,ltlSOL2023,reachabilityBVT2023,reachabilitySOL2023,state_spaceBVT2023,state_spaceSOL2023,upper_boundsBVT2023,upper_boundsSOL2023,ctlBVT2024,ctlSOL2024,global_propertiesBVT2024,global_propertiesSOL2024,ltlBVT2024,ltlSOL2024,reachabilityBVT2024,reachabilitySOL2024,state_spaceBVT2024,state_spaceSOL2024,upper_boundsBVT2024,upper_boundsSOL2024,ctlBVT2025,ctlSOL2025,global_propertiesBVT2025,global_propertiesSOL2025,ltlBVT2025,ltlSOL2025,reachabilityBVT2025,reachabilitySOL2025,state_spaceBVT2025,state_spaceSOL2025,upper_boundsBVT2025,upper_boundsSOL2025
AirplaneLD,COL,0010,20,15,56,32,96,1,3,32,96,32,96,4,12,16,48,32,96,1,3,32,96,32,96,4,12,16,48,32,96,5,11,32,96,32,96,3,9,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,11,16,48
AirplaneLD,COL,0020,20,15,56,32,96,1,3,32,64,32,95,4,11,16,48,32,96,1,3,32,94,32,96,4,12,16,48,32,96,5,11,32,96,32,96,3,9,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,11,16,48
AirplaneLD,COL,0050,20,15,56,32,96,1,3,32,64,32,96,4,11,16,47,32,96,1,3,32,96,32,96,4,12,16,48,32,96,5,11,32,94,32,96,3,9,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,11,16,48
AirplaneLD,COL,0100,20,15,56,32,96,1,3,32,63,32,95,4,11,16,48,32,93,1,3,32,96,32,96,4,12,16,48,32,96,5,11,32,95,32,96,3,9,16,48,32,87,5,15,32,93,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,11,16,48
AirplaneLD,COL,0200,20,15,56,32,93,1,3,32,94,32,96,4,12,16,48,32,87,1,3,32,90,32,96,4,12,16,48,32,93,5,11,32,82,32,96,3,9,16,48,32,90,5,15,32,91,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,95,5,15,32,96,32,96,4,12,16,48,32,94,5,15,32,92,32,96,4,11,16,48
AirplaneLD,COL,0500,20,15,56,32,93,1,3,32,92,32,96,4,12,16,48,32,92,1,3,32,92,32,94,4,11,16,48,32,93,5,11,32,90,32,96,3,9,16,48,32,93,5,15,32,89,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,93,5,15,32,96,32,96,4,12,16,48,32,94,5,15,32,96,32,96,4,12,16,48,32,92,5,15,32,94,32,96,4,11,16,48
AirplaneLD,COL,1000,20,15,56,32,83,1,3,32,77,32,96,4,12,16,48,32,81,1,3,32,92,32,96,4,7,16,48,31,88,4,6,26,57,32,92,3,8,16,48,32,86,5,15,32,89,32,96,4,11,16,48,32,96,5,15,32,96,32,96,4,11,16,48,32,95,5,15,32,94,32,96,4,12,16,48,32,93,5,15,32,96,32,96,4,12,16,48,32,94,5,15,32,94,32,96,4,11,16,48
AirplaneLD,COL,2000,20,15,56,27,51,1,3,28,60,32,94,4,12,16,48,30,86,1,3,32,64,32,96,4,7,16,48,30,74,4,6,29,75,32,94,3,8,16,48,32,66,5,15,32,93,32,96,4,11,16,48,32,96,5,15,32,96,32,96,4,11,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,11,16,48,32,94,5,15,32,94,32,96,4,11,16,48
AirplaneLD,COL,4000,20,15,56,26,49,1,3,30,90,32,87,4,12,16,47,27,77,1,3,28,55,32,90,4,7,16,46,24,61,4,6,24,46,30,87,3,8,16,48,32,85,5,15,32,86,32,96,4,11,16,48,32,96,5,15,32,96,32,96,4,11,16,48,32,94,5,15,32,96,32,96,4,11,16,48,32,90,5,15,32,94,32,96,4,11,16,48,32,90,5,15,32,86,32,96,4,11,16,48
AirplaneLD,PT,0010,89,88,333,32,96,1,3,32,96,32,96,4,12,16,48,32,96,1,3,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,11,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,11,16,48
