model,isSafe,isNUPN,isGenNUPN
AirplaneLD-PT-0010,T,F,T
AirplaneLD-PT-0020,T,F,T
AirplaneLD-PT-0050,T,F,T
AirplaneLD-PT-0100,T,F,T
AirplaneLD-PT-0200,T,F,T
AirplaneLD-PT-0500,T,F,T
AirplaneLD-PT-1000,T,F,T
AirplaneLD-PT-2000,T,F,T
AirplaneLD-PT-4000,T,F,T
Anderson-PT-04,T,T,F
Anderson-PT-05,T,T,F
Anderson-PT-06,T,T,F
Anderson-PT-07,T,T,F
Anderson-PT-08,T,T,F
Anderson-PT-09,T,T,F
Anderson-PT-10,T,T,F
Anderson-PT-11,T,T,F
Anderson-PT-12,T,T,F
Angiogenesis-PT-01,T,F,T
Angiogenesis-PT-05,F,F,F
Angiogenesis-PT-10,F,F,F
Angiogenesis-PT-15,F,F,F
Angiogenesis-PT-20,F,F,F
Angiogenesis-PT-25,F,F,F
Angiogenesis-PT-50,F,F,F
ARMCacheCoherence-PT-none,T,T,F
ASLink-PT-01a,T,T,F
ASLink-PT-01b,T,T,F
ASLink-PT-02a,T,T,F
ASLink-PT-02b,T,T,F
ASLink-PT-03a,T,T,F
ASLink-PT-03b,T,T,F
ASLink-PT-04a,T,T,F
ASLink-PT-04b,T,T,F
ASLink-PT-05a,T,T,F
ASLink-PT-05b,T,T,F
ASLink-PT-06a,T,T,F
ASLink-PT-06b,T,T,F
ASLink-PT-07a,T,T,F
ASLink-PT-07b,T,T,F
ASLink-PT-08a,T,T,F
ASLink-PT-08b,T,T,F
ASLink-PT-09a,T,T,F
ASLink-PT-09b,T,T,F
ASLink-PT-10a,T,T,F
ASLink-PT-10b,T,T,F
AutoFlight-PT-01a,T,T,F
AutoFlight-PT-01b,T,T,F
AutoFlight-PT-02a,T,T,F
AutoFlight-PT-02b,T,T,F
AutoFlight-PT-03a,T,T,F
AutoFlight-PT-03b,T,T,F
AutoFlight-PT-04a,T,T,F
AutoFlight-PT-04b,T,T,F
AutoFlight-PT-05a,T,T,F
AutoFlight-PT-05b,T,T,F
AutoFlight-PT-06a,T,T,F
AutoFlight-PT-06b,T,T,F
AutoFlight-PT-12a,T,T,F
AutoFlight-PT-12b,T,T,F
